N, E (WGS 84);57.75, 14.193;57.786, 14.191
;temperatur [°C];temperatur [°C]
2023-01-01;2.0;2.5
2023-01-02;4.6;5.0
2023-01-03;-1.8;-1.4
2023-01-04;0.2;0.7
2023-01-05;-1.2;-0.8
2023-01-06;-2.9;-2.4
2023-01-07;1.5;2.0
2023-01-08;4.0;4.5
2023-01-09;3.5;4.0
2023-01-10;3.9;4.4
2023-01-11;4.3;4.8
2023-01-12;3.5;4.0
2023-01-13;4.5;5.0
2023-01-14;3.8;4.3
2023-01-15;2.7;3.2
2023-01-16;2.2;2.7
2023-01-17;1.7;2.2
2023-01-18;0.4;0.9
2023-01-19;-0.8;-0.3
2023-01-20;0.0;0.5
2023-01-21;-2.0;-1.4
2023-01-22;-4.9;-4.4
2023-01-23;-4.6;-4.1
2023-01-24;0.3;0.9
2023-01-25;1.8;2.4
2023-01-26;1.6;2.1
2023-01-27;-3.4;-2.9
2023-01-28;0.6;1.2
2023-01-29;3.2;3.7
2023-01-30;3.1;3.6
2023-01-31;0.3;0.8
2023-02-01;1.9;2.3
2023-02-02;-3.4;-3.0
2023-02-03;-2.1;-1.6
2023-02-04;-7.3;-6.9
2023-02-05;-3.8;-3.2
2023-02-06;-2.8;-2.2
2023-02-07;0.1;0.7
2023-02-08;1.0;1.6
2023-02-09;0.8;1.4
2023-02-10;1.1;1.7
2023-02-11;3.2;3.7
2023-02-12;2.9;3.5
2023-02-13;4.1;4.5
2023-02-14;1.5;2.0
2023-02-15;0.5;1.0
2023-02-16;2.9;3.4
2023-02-17;4.4;4.9
2023-02-18;2.3;2.8
2023-02-19;-0.8;-0.3
2023-02-20;4.0;4.5
2023-02-21;1.5;2.0
2023-02-22;-1.3;-0.8
2023-02-23;0.6;1.1
2023-02-24;0.4;0.9
2023-02-25;-2.8;-2.3
2023-02-26;-2.1;-1.5
2023-02-27;0.3;0.8
2023-02-28;1.1;1.5
2023-03-01;0.5;1.0
2023-03-02;1.8;2.3
2023-03-03;2.3;2.8
2023-03-04;-0.5;0.0
2023-03-05;-2.3;-1.7
2023-03-06;-4.3;-3.9
2023-03-07;-3.3;-2.8
2023-03-08;-6.0;-5.6
2023-03-09;-6.1;-5.6
2023-03-10;-2.9;-2.5
2023-03-11;-3.0;-2.6
2023-03-12;-3.8;-3.4
2023-03-13;2.7;3.1
